Traceback (most recent call last):
  File "/home/ubuntu/clawd/scripts/email_notify_daemon.py", line 32, in <module>
    logging.FileHandler(LOG_FILE),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1231, in __init__
    StreamHandler.__init__(self, self._open())
                                 ^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1263, in _open
    return open_func(self.baseFilename, self.mode,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: '/home/ubuntu/clawd/logs/email_daemon.log'
2026-02-03 15:26:10,840 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:26:10,898 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:26:10,898 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:28:11,159 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:28:11,159 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:28:11,218 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:28:11,218 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:30:11,478 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:30:11,478 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:30:11,541 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:30:11,541 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:32:11,799 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:32:11,799 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:32:11,866 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:32:11,866 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:34:12,118 - INFO - file_cache is only supported with oauth2client<4.0.0
